"uid","domainID","siteID","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertainty","elevation","elevationUncertainty","startCollectDate","endCollectDate","archiveID","sampleTiming","scientificName","sex","archivedCount","archiveMedium","archiveVialIDList","archiveFacilityID","deprecatedVialID","samplingProtocolVersion","duplicatesInArchivePoolingQF"
"B63F8A40E8724E27AA16A0F51DCF40EC","D10","CPER",40.836032,-104.732940,"WGS84",4292.6,1646.1,21.4,"2014-08-12","2014-08-13","CPER.2014.32.CULTAR.F.A","field season","Culex tarsalis","F",102,"Frozen -80C","CPER.2014.32.CULTAR.F.A.01",,"CPER.2014.7.Culex tarsalis.Female","NEON.DOC.014049vE",0
"74F74EBDE5744094BD98A12A0A22EFA5","D10","CPER",40.830185,-104.732170,"WGS84",4585.5,1640.9,19.6,"2014-08-12","2014-08-13","CPER.2014.32.PSOSIG.F.A","field season","Psorophora signipennis","F",10,"Frozen -80C","CPER.2014.32.PSOSIG.F.A.01",,"CPER.2014.7.Psorophora signipennis.Female","NEON.DOC.014049vE",0
"083821FD381241B78455B8948407F470","D10","CPER",40.825683,-104.762650,"WGS84",0.1,1646.6,0.1,"2014-08-12","2014-08-13","CPER.2014.32.AEDMEL.F.A","field season","Aedes melanimon","F",1,"Frozen -80C","CPER.2014.32.AEDMEL.F.A.01",,"CPER.2014.7.Aedes melanimon.Female","NEON.DOC.014049vE",0
"28CCF337FCEB4B6AA62B22D227D0E2CF","D10","CPER",40.838127,-104.725283,"WGS84",3440.3,1643.9,9.8,"2014-08-26","2014-08-27","CPER.2014.34.CULINO.F.A","field season","Culiseta inornata","F",4,"Frozen -80C","CPER.2014.34.CULINO.F.A.01",,"CPER.2014.8.Culiseta inornata.Female","NEON.DOC.014049vE",0
"1944AC17BB1E402684B665BE8B630F3A","D10","CPER",40.835037,-104.736302,"WGS84",4594.6,1646.4,21.7,"2014-08-26","2014-08-27","CPER.2014.34.AEDNIG.F.A","field season","Aedes nigromaculis","F",337,"Frozen -80C","CPER.2014.34.AEDNIG.F.A.01",,"CPER.2014.8.Aedes nigromaculis.Female","NEON.DOC.014049vE",0
"0C4E1A6EF537464492A714F1F283DB00","D10","CPER",40.811915,-104.772255,"WGS84",0.1,1639.9,0.1,"2014-08-26","2014-08-27","CPER.2014.34.AEDVEX.F.A","field season","Aedes vexans","F",6,"Frozen -80C","CPER.2014.34.AEDVEX.F.A.01",,"CPER.2014.8.Aedes vexans.Female","NEON.DOC.014049vE",0
"C80C3DD978BC498EA76839AC2BA0BB8A","D10","CPER",40.830849,-104.745533,"WGS84",5500.3,1646.3,21.6,"2014-08-26","2014-08-27","CPER.2014.34.AEDDOR.F.A","field season","Aedes dorsalis","F",2,"Frozen -80C","CPER.2014.34.AEDDOR.F.A.01",,"CPER.2014.8.Aedes dorsalis.Female","NEON.DOC.014049vE",0
"86C62B0F01074574853349AB9DF3B223","D10","CPER",40.830240,-104.744363,"WGS84",2507.6,1645.1,5.8,"2014-08-26","2014-08-27","CPER.2014.34.PSOSIG.F.A","field season","Psorophora signipennis","F",2,"Frozen -80C","CPER.2014.34.PSOSIG.F.A.01",,"CPER.2014.8.Psorophora signipennis.Female","NEON.DOC.014049vE",0
"5759302A494E413FB7F7DEFEC496C218","D10","CPER",40.833840,-104.736515,"WGS84",4674.2,1645.5,20.8,"2014-09-09","2014-09-10","CPER.2014.36.AEDDOR.F.A","field season","Aedes dorsalis","F",11,"Frozen -80C","CPER.2014.36.AEDDOR.F.A.01",,"CPER.2014.9.Aedes dorsalis.Female","NEON.DOC.014049vE",0
"82F0342C5EBC4CFC8DE5C7BC6BD58C49","D10","CPER",40.819193,-104.762876,"WGS84",720.8,1643.0,3.7,"2014-09-09","2014-09-10","CPER.2014.36.CULINO.F.A","field season","Culiseta inornata","F",3,"Frozen -80C","CPER.2014.36.CULINO.F.A.01",,"CPER.2014.9.Culiseta inornata.Female","NEON.DOC.014049vE",0
"543E90FA5F7142EFAE12E0E0EBB845C3","D10","CPER",40.834509,-104.740447,"WGS84",4931.8,1647.3,22.6,"2014-09-09","2014-09-10","CPER.2014.36.AEDNIG.F.A","field season","Aedes nigromaculis","F",24,"Frozen -80C","CPER.2014.36.AEDNIG.F.A.01",,"CPER.2014.9.Aedes nigromaculis.Female","NEON.DOC.014049vE",0
"3004302E46A34A96A205889BF7162236","D10","CPER",40.811915,-104.772255,"WGS84",0.1,1639.9,0.1,"2014-09-09","2014-09-10","CPER.2014.36.CULSAL.F.A","field season","Culex salinarius","F",1,"Frozen -80C","CPER.2014.36.CULSAL.F.A.01",,"CPER.2014.9.Culex salinarius.Female","NEON.DOC.014049vE",0
"435B8A1F072F4A16AC88402A2D51B29C","D10","CPER",40.828266,-104.744887,"WGS84",5596.4,1644.6,19.9,"2014-09-24","2014-09-25","CPER.2014.38.AEDNIG.F.A","field season","Aedes nigromaculis","F",34,"Frozen -80C","CPER.2014.38.AEDNIG.F.A.01",,"CPER.2014.10.Aedes nigromaculis.Female","NEON.DOC.014049vE",0
"D9712BDE8F184785AE5561950236AF11","D10","CPER",40.812309,-104.767679,"WGS84",388.5,1639.7,0.3,"2014-09-24","2014-09-25","CPER.2014.38.AEDVEX.F.A","field season","Aedes vexans","F",2,"Frozen -80C","CPER.2014.38.AEDVEX.F.A.01",,"CPER.2014.10.Aedes vexans.Female","NEON.DOC.014049vE",0
"FF1A18024E1C4AC3ADB855981C7E02A4","D10","CPER",40.849688,-104.703984,"WGS84",1835.7,1646.7,14.5,"2014-09-24","2014-09-25","CPER.2014.38.CULTAR.F.A","field season","Culex tarsalis","F",4,"Frozen -80C","CPER.2014.38.CULTAR.F.A.01",,"CPER.2014.10.Culex tarsalis.Female","NEON.DOC.014049vE",0
"EA55CA1F380C4B98A50B1A4FB23CE116","D10","CPER",40.827240,-104.742394,"WGS84",4864.7,1643.1,18.4,"2014-09-24","2014-09-25","CPER.2014.38.AEDDOR.F.A","field season","Aedes dorsalis","F",16,"Frozen -80C","CPER.2014.38.AEDDOR.F.A.01",,"CPER.2014.10.Aedes dorsalis.Female","NEON.DOC.014049vE",0
