"uid","domainID","siteID","plotID","nlcdClass","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertainty","elevation","elevationUncertainty","setDateTime","collectDateTime","localSetDateTime","localCollectDateTime","sampleTiming","eventID","nightOrDay","trapHours","sampleID","targetTaxaPresent","samplingProtocolVersion","trapRecordedBy","trappingRemarks","trapCompromisedQF","sampleCompromisedAtTrapping","sampleLostQF","duplicatesInTrappingQF"
"0C32CA439A624ED982CA6113D4E7282C","D10","CPER","CPER_089","grasslandHerbaceous",40.812702,-104.763102,"WGS84",0.1,1639.5,0.1,"2014-06-04T02:30Z","2014-06-04T14:33Z","20140603.2030","20140604.0833","field season","CPER.2014.22","night",12.0,"CPER_089.20140604.0833","Y","NEON.DOC.014049vE","5cJrGWs5ZbE+2stOtk3fwA==",,0,"No known compromise",0,0
"AA722385A3B146BC8D9E9159E6D04191","D10","CPER","CPER_086","grasslandHerbaceous",40.847775,-104.725614,"WGS84",0.1,1650.8,0.1,"2014-06-04T13:31Z","2014-06-04T23:26Z","20140604.0731","20140604.1726","field season","CPER.2014.22","day",10.0,,"N","NEON.DOC.014049vE","5cJrGWs5ZbE+2stOtk3fwA==",,0,"No known compromise",-1,0
"53F03E25DB674F67B6B854D670AA0E88","D10","CPER","CPER_078","grasslandHerbaceous",40.834431,-104.690811,"WGS84",0.1,1624.8,0.1,"2014-06-04T12:27Z","2014-06-05T00:02Z","20140604.0627","20140604.1802","field season","CPER.2014.22","day",11.5,,"N","NEON.DOC.014049vE","5cJrGWs5ZbE+2stOtk3fwA==",,0,"No known compromise",-1,0
"9FCF4BF0909548DA891206AAA04A654A","D10","CPER","CPER_083","grasslandHerbaceous",40.840911,-104.687576,"WGS84",0.1,1634.2,0.1,"2014-06-04T12:41Z","2014-06-05T00:22Z","20140604.0641","20140604.1822","field season","CPER.2014.22","day",11.5,,"N","NEON.DOC.014049vE","5cJrGWs5ZbE+2stOtk3fwA==",,0,"No known compromise",-1,0
"C69673116E8E4E189D85F9DCE1B974B8","D10","CPER","CPER_082","grasslandHerbaceous",40.854510,-104.688209,"WGS84",0.1,1640.8,0.1,"2014-06-04T12:54Z","2014-06-05T00:41Z","20140604.0654","20140604.1841","field season","CPER.2014.22","day",12.0,"CPER_082.20140604.1841","Y","NEON.DOC.014049vE","5cJrGWs5ZbE+2stOtk3fwA==",,0,"No known compromise",1,0
"B67AE42FC16446BF8964A2322AC76F49","D10","CPER","CPER_090","grasslandHerbaceous",40.855550,-104.714539,"WGS84",0.1,1661.1,0.1,"2014-06-04T13:14Z","2014-06-05T01:10Z","20140604.0714","20140604.1910","field season","CPER.2014.22","day",12.0,,"N","NEON.DOC.014049vE","5cJrGWs5ZbE+2stOtk3fwA==","Cow destroyed set up. Moved set up to center of bush < 0.25m from origin.|catchCupStatus may not be accurate",1,"No known compromise",-1,0
"2422744B126D47079A095819FC447BE8","D10","CPER","CPER_084","grasslandHerbaceous",40.845700,-104.764050,"WGS84",0.1,1662.5,0.1,"2014-06-04T13:50Z","2014-06-05T01:43Z","20140604.0750","20140604.1943","field season","CPER.2014.22","day",12.0,,"N","NEON.DOC.014049vE","5cJrGWs5ZbE+2stOtk3fwA==",,0,"No known compromise",-1,0
"282E03116A9240CFBD9B3AE1F7B243D2","D10","CPER","CPER_080","grasslandHerbaceous",40.831098,-104.760543,"WGS84",0.1,1660.4,0.1,"2014-06-04T14:03Z","2014-06-05T01:55Z","20140604.0803","20140604.1955","field season","CPER.2014.22","day",12.0,,"N","NEON.DOC.014049vE","5cJrGWs5ZbE+2stOtk3fwA==",,0,"No known compromise",-1,0
"3E78EE80D2AE417F89BA031B8D7620D7","D10","CPER","CPER_087","grasslandHerbaceous",40.825683,-104.762650,"WGS84",0.1,1646.6,0.1,"2014-06-04T14:16Z","2014-06-05T02:06Z","20140604.0816","20140604.2006","field season","CPER.2014.22","day",12.0,,"N","NEON.DOC.014049vE","5cJrGWs5ZbE+2stOtk3fwA==",,0,"No known compromise",-1,0
"2157662D34124A64AAD407E1D6848C59","D10","CPER","CPER_089","grasslandHerbaceous",40.812702,-104.763102,"WGS84",0.1,1639.5,0.1,"2014-06-04T14:33Z","2014-06-05T02:20Z","20140604.0833","20140604.2020","field season","CPER.2014.22","day",12.0,,"N","NEON.DOC.014049vE","5cJrGWs5ZbE+2stOtk3fwA==",,0,"No known compromise",-1,0
"0362CEB385024A3BA37FBC80DCABF07F","D10","CPER","CPER_088","grasslandHerbaceous",40.811915,-104.772255,"WGS84",0.1,1639.9,0.1,"2014-06-04T12:00Z","2014-06-05T02:31Z","20140604.0600","20140604.2031","field season","CPER.2014.22","day",14.5,,"N","NEON.DOC.014049vE","5cJrGWs5ZbE+2stOtk3fwA==","catchCupStatus may not be accurate",1,"No known compromise",-1,0
"0897CBECA58C4B6392AECDCA75ECEDF6","D10","CPER","CPER_078","grasslandHerbaceous",40.834431,-104.690811,"WGS84",0.1,1624.8,0.1,"2014-06-05T00:02Z","2014-06-05T12:25Z","20140604.1802","20140605.0625","field season","CPER.2014.22","night",12.5,"CPER_078.20140605.0625","Y","NEON.DOC.014049vE","5cJrGWs5ZbE+2stOtk3fwA==",,0,"No known compromise",0,0
"BE8F86AC8F404E0B86A8B756D0F46D24","D10","CPER","CPER_083","grasslandHerbaceous",40.840911,-104.687576,"WGS84",0.1,1634.2,0.1,"2014-06-05T00:22Z","2014-06-05T12:40Z","20140604.1822","20140605.0640","field season","CPER.2014.22","night",12.5,"CPER_083.20140605.0640","Y","NEON.DOC.014049vE","5cJrGWs5ZbE+2stOtk3fwA==",,0,"No known compromise",0,0
"E6B669A984F54A279E71D98D5DD2C614","D10","CPER","CPER_082","grasslandHerbaceous",40.854510,-104.688209,"WGS84",0.1,1640.8,0.1,"2014-06-05T00:41Z","2014-06-05T12:51Z","20140604.1841","20140605.0651","field season","CPER.2014.22","night",12.0,"CPER_082.20140605.0651","Y","NEON.DOC.014049vE","5cJrGWs5ZbE+2stOtk3fwA==",,0,"No known compromise",0,0
"D52759D97D3448458349F6236DB29A15","D10","CPER","CPER_090","grasslandHerbaceous",40.855550,-104.714539,"WGS84",0.1,1661.1,0.1,"2014-06-05T01:10Z","2014-06-05T13:07Z","20140604.1910","20140605.0707","field season","CPER.2014.22","night",12.0,"CPER_090.20140605.0707","Y","NEON.DOC.014049vE","5cJrGWs5ZbE+2stOtk3fwA==",,0,"No known compromise",0,0
"035BE19B2A814B4099595474484E0BB2","D10","CPER","CPER_086","grasslandHerbaceous",40.847775,-104.725614,"WGS84",0.1,1650.8,0.1,"2014-06-04T23:26Z","2014-06-05T13:21Z","20140604.1726","20140605.0721","field season","CPER.2014.22","night",14.0,"CPER_086.20140605.0721","Y","NEON.DOC.014049vE","5cJrGWs5ZbE+2stOtk3fwA==",,0,"No known compromise",0,0
"9F379A2B9AAD49A881C15BD43415CDA7","D10","CPER","CPER_084","grasslandHerbaceous",40.845700,-104.764050,"WGS84",0.1,1662.5,0.1,"2014-06-05T01:43Z","2014-06-05T13:46Z","20140604.1943","20140605.0746","field season","CPER.2014.22","night",12.0,"CPER_084.20140605.0746","Y","NEON.DOC.014049vE","5cJrGWs5ZbE+2stOtk3fwA==",,0,"No known compromise",0,0
"A2F1A9C292E44089BF3F8FFCEFCAC539","D10","CPER","CPER_080","grasslandHerbaceous",40.831098,-104.760543,"WGS84",0.1,1660.4,0.1,"2014-06-05T01:55Z","2014-06-05T13:56Z","20140604.1955","20140605.0756","field season","CPER.2014.22","night",12.0,"CPER_080.20140605.0756","Y","NEON.DOC.014049vE","5cJrGWs5ZbE+2stOtk3fwA==",,0,"No known compromise",0,0
"AB405762E28E4441A945DC316B19D805","D10","CPER","CPER_087","grasslandHerbaceous",40.825683,-104.762650,"WGS84",0.1,1646.6,0.1,"2014-06-05T02:06Z","2014-06-05T14:20Z","20140604.2006","20140605.0820","field season","CPER.2014.22","night",12.0,"CPER_087.20140605.0820","Y","NEON.DOC.014049vE","5cJrGWs5ZbE+2stOtk3fwA==","Cow destroyed set up.|catchCupStatus may not be accurate",1,"No known compromise",1,0
"82C319DBFBC14C4EAC1356825A6D5581","D10","CPER","CPER_089","grasslandHerbaceous",40.812702,-104.763102,"WGS84",0.1,1639.5,0.1,"2014-06-05T02:20Z","2014-06-05T14:36Z","20140604.2020","20140605.0836","field season","CPER.2014.22","night",12.5,"CPER_089.20140605.0836","Y","NEON.DOC.014049vE","5cJrGWs5ZbE+2stOtk3fwA==",,0,"No known compromise",0,0
"B367B8D4B92B414D8E4A85A249F41682","D10","CPER","CPER_088","grasslandHerbaceous",40.811915,-104.772255,"WGS84",0.1,1639.9,0.1,"2014-06-05T02:31Z","2014-06-05T14:45Z","20140604.2031","20140605.0845","field season","CPER.2014.22","night",12.0,"CPER_088.20140605.0845","Y","NEON.DOC.014049vE","5cJrGWs5ZbE+2stOtk3fwA==",,0,"No known compromise",0,0
"DA90F6784CB94268AF39D4C42EFE172A","D10","CPER","CPER_078","grasslandHerbaceous",40.834431,-104.690811,"WGS84",0.1,1624.8,0.1,"2014-06-16T23:15Z","2014-06-17T12:19Z","20140616.1715","20140617.0619","field season","CPER.2014.24","night",13.0,"CPER_078.20140617.0619","Y","NEON.DOC.014049vE","Xlq171H9ZZZEPy9Md+oBSw==",,0,"No known compromise",0,0
